Institute,Course,Branch/Subject,No. of seats,Course Duration (In Months),Examination Pattern,Annual Tuition Fees,Annual Total Fees,Eligibility Criteria,Additional Criteria,SII Institute Link
Indian Institute of Information Technology (IIIT) Sonepat,Bachelor of Technology (B.Tech),Information Technology,5,48,semester,USD 4000,USD 6500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",SAT Level II with minimum 1800 score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0274#Section2
Indian Institute of Information Technology Allahabad,Bachelor of Technology (B.Tech),Electronics and Communication Engineering,12,48,semester,USD 7000,USD 10450,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",SAT Level I with minimum 800 score And ( TOEFL with minimum 70 score  Or  And IELTS with minimum 6 score ) And SAT Level II with minimum 800 score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0296#Section2
Indian Institute of Information Technology Allahabad,Bachelor of Technology (B.Tech),Information Technology,29,48,semester,USD 7000,USD 10450,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",SAT Level I with minimum 800 score And SAT Level II with minimum 800 score And ( TOEFL with minimum 70 score  Or IELTS with minimum 6 score ),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0296#Section2
Indian Institute of Information Technology Design and Manufacturing Jabalpur,Bachelor of Technology (B.Tech),Computer Science and Engineering,8,48,semester,USD 2500,USD 3000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0096#Section2
Indian Institute of Information Technology Design and Manufacturing Jabalpur,Bachelor of Technology (B.Tech),Electronics and Communication Engineering,8,48,semester,USD 2500,USD 3000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0096#Section2
Indian Institute of Information Technology Design and Manufacturing Jabalpur,Bachelor of Technology (B.Tech),Mechanical Engineering,4,48,semester,USD 2500,USD 3000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0096#Section2
Indian Institute of Information Technology Design and Manufacturing Jabalpur,Bachelor of Technology (B.Tech),Smart Manufacturing,4,48,semester,USD 2500,USD 3000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0096#Section2
"Indian Institute of Information Technology, Design and Manufacturing, Kancheepuram",Bachelor of Technology (B.Tech),Computer Science and Engineering,5,48,semester,USD 4500,USD 5500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",( SAT Level I with minimum 1200 score  Or SAT Level II with minimum 1800 score ),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0276#Section2
"Indian Institute of Information Technology, Design and Manufacturing, Kancheepuram",Bachelor of Technology (B.Tech),Electronics and Communication Engineering,4,48,semester,USD 4500,USD 5500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",( SAT Level I with minimum 1200 score  Or SAT Level II with minimum 1800 score ),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0276#Section2
"Indian Institute of Information Technology, Design and Manufacturing, Kancheepuram",Bachelor of Technology (B.Tech),Mechanical Engineering,3,48,semester,USD 4500,USD 5500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",( SAT Level I with minimum 1200 score  Or SAT Level II with minimum 1800 score ),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0276#Section2
"Indian Institute of Information Technology, Design and Manufacturing, Kancheepuram",Bachelor of Technology (B.Tech),Smart Manufacturing,3,48,semester,USD 4500,USD 5500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",( SAT Level I with minimum 1200 score  Or SAT Level II with minimum 1800 score ),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0276#Section2
"Indian Institute of Information Technology, Design and Manufacturing, Kancheepuram",Bachelor of Technology (B.Tech),Computer Science and Engineering with Major in Artificial Intelligence,5,48,semester,USD 4500,USD 5500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",( SAT Level I with minimum 1200 score ) And ( SAT Level II with minimum 1800 score ),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0276#Section2
"Indian Institute of Information Technology, Sri City, Chittoor",Bachelor of Technology (B.Tech),Computer Science and Engineering,20,48,semester,USD 8000,USD 9600,"( 10th in Any Subject with minimum 65% score  ) And ( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 70% score )",SAT Level II with minimum 1800 score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0229#Section2
"Indian Institute of Information Technology, Sri City, Chittoor",Bachelor of Technology (B.Tech),Electronics and Communication Engineering,20,48,Yearly,USD 8000,USD 9600,( 10th in Any Subject with minimum 65% score  ),SAT Level II with minimum 1800 score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0229#Section2
Indian Institute of Technology Bhubaneswar,B.Tech + M.Tech (Integrated),Civil and Environmental Engineering,1,60,semester,INR 600000,INR 665068,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",JEE Advanced with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0031#Section2
Indian Institute of Technology Bhubaneswar,Bachelor of Technology (B.Tech),Civil Engineering,5,48,semester,INR 600000,INR 665038,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",JEE Advanced with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0031#Section2
Indian Institute of Technology Bhubaneswar,B.Tech + M.Tech (Integrated),Civil Engineering and Structural Engineering,1,60,semester,INR 600000,INR 665068,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",JEE Advanced with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0031#Section2
Indian Institute of Technology Bhubaneswar,B.Tech + M.Tech (Integrated),Civil Engineering and Transportation Engineering,1,60,semester,INR 600000,INR 665068,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",JEE Advanced with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0031#Section2
Indian Institute of Technology Bhubaneswar,Bachelor of Technology (B.Tech),Computer Science and Engineering,5,48,semester,INR 600000,INR 665068,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",JEE Advanced with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0031#Section2
Indian Institute of Technology Bhubaneswar,B.Tech + M.Tech (Integrated),Computer Science and Engineering,1,60,semester,INR 600000,INR 665000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",JEE Advanced with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0031#Section2
Indian Institute of Technology Bhubaneswar,Bachelor of Technology (B.Tech),Electrical Engineering,5,48,semester,INR 600000,INR 665038,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",JEE Advanced with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0031#Section2
Indian Institute of Technology Bhubaneswar,B.Tech + M.Tech (Integrated),Electrical Engineering and Power Electronics and Drives,1,24,semester,INR 600000,INR 600000,( 10+2 in Science with minimum 75% score ),JEE Advanced with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0031#Section2
Indian Institute of Technology Bhubaneswar,Bachelor of Technology (B.Tech),Electronics and Communication Engineering,5,48,semester,INR 600000,INR 665068,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",JEE Advanced with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0031#Section2
Indian Institute of Technology Bhubaneswar,Bachelor of Technology (B.Tech),Mechanical Engineering,5,48,semester,INR 600000,INR 665038,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",JEE Advanced with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0031#Section2
Indian Institute of Technology Bhubaneswar,B.Tech + M.Tech (Integrated),Mechanical Engineering and Manufacturing Engineering,1,60,semester,INR 600000,INR 665063,"( 10+2 in Physics, Chemistry and Biology (PCB) with minimum 60% score )",JEE Advanced with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0031#Section2
Indian Institute of Technology Bhubaneswar,B.Tech + M.Tech (Integrated),Mechanical Engineering and Mechanical System Design,1,60,semester,INR 600000,INR 665068,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",JEE Advanced with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0031#Section2
Indian Institute of Technology Bhubaneswar,B.Tech + M.Tech (Integrated),Mechanical Engineering and Thermal Science and Engineering,1,60,semester,INR 600000,INR 665068,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",JEE Advanced with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0031#Section2
Indian Institute of Technology Bhubaneswar,Bachelor of Technology (B.Tech),Metallurgical and Materials Engineering,5,48,semester,INR 600000,INR 665038,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",JEE Advanced with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0031#Section2
Indian Institute of Technology Bhubaneswar,B.Tech + M.Tech (Integrated),Metallurgical and Materials Engineering,1,60,semester,INR 600000,INR 665068,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",JEE Advanced with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0031#Section2
Indian Institute of Technology Kharagpur,Bachelor of Technology (B.Tech),NA,70,48,semester,INR 600000,INR 688110,( 10+2 in Any Subject with minimum 60% score ),JEE Main with minimum Valid score And JEE Advanced with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0101#Section2
Indian Institute of Technology Kharagpur,B.Tech + M.Tech (Integrated),NA,41,60,semester,INR 600000,INR 688110,( 10+2 in Any Subject with minimum 60% score ),JEE Main with minimum Valid score And JEE Advanced with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0101#Section2
Indian Institute of Technology Mandi,B.Tech + M.Tech (Integrated),Bio Technology,3,60,semester,INR 600000,INR 712900,( 10+2 in Chemistry with minimum 60% score And 10+2 in Mathematics with minimum 60% score And 10+2 in Physics with minimum 60% score ),JEE Advanced with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0036#Section2
Indian Institute of Technology Mandi,Bachelor of Technology (B.Tech),Civil Engineering,5,48,semester,INR 600000,INR 712900,( 10+2 in Chemistry with minimum 60% score And 10+2 in Mathematics with minimum 60% score And 10+2 in Physics with minimum 60% score ),JEE Advanced with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0036#Section2
Indian Institute of Technology Mandi,Bachelor of Technology (B.Tech),Computer Science and Engineering,6,48,semester,INR 600000,INR 712900,( 10+2 in Chemistry with minimum 60% score And 10+2 in Mathematics with minimum 60% score And 10+2 in Physics with minimum 60% score ),JEE Advanced with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0036#Section2
Indian Institute of Technology Mandi,Bachelor of Technology (B.Tech),Data Science,3,48,semester,INR 600000,INR 712900,( 10+2 in Chemistry with minimum 60% score And 10+2 in Mathematics with minimum 60% score And 10+2 in Physics with minimum 60% score ),JEE Advanced with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0036#Section2
Indian Institute of Technology Mandi,Bachelor of Technology (B.Tech),Electrical Engineering,7,48,semester,INR 600000,INR 712900,( 10+2 in Chemistry with minimum 60% score And 10+2 in Mathematics with minimum 60% score And 10+2 in Physics with minimum 60% score ),JEE Advanced with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0036#Section2
Indian Institute of Technology Mandi,Bachelor of Technology (B.Tech),Engineering Physics,3,48,semester,INR 600000,INR 712900,( 10+2 in Chemistry with minimum 60% score And 10+2 in Mathematics with minimum 60% score And 10+2 in Physics with minimum 60% score ),JEE Advanced with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0036#Section2
Indian Institute of Technology Mandi,Bachelor of Technology (B.Tech),Mechanical Engineering,5,48,semester,INR 600000,INR 712900,( 10+2 in Chemistry with minimum 60% score And 10+2 in Mathematics with minimum 60% score And 10+2 in Physics with minimum 60% score ),JEE Advanced with minimum Valid score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0036#Section2
Institute of Chemical Technology,Bachelor of Technology (B.Tech),Dyestuff Technology,1,48,semester,INR 15000,INR 140350,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 75% score )",JEE Main with minimum 100 score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0097#Section2
Institute of Chemical Technology,Bachelor of Technology (B.Tech),Fibres and Textile Processing Technology,1,48,semester,INR 15000,INR 140350,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 75% score )",JEE Main with minimum 100 score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0097#Section2
Institute of Chemical Technology,Bachelor of Technology (B.Tech),Food Engineering and Technology,1,48,semester,INR 15000,INR 140350,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 75% score )",JEE Main with minimum 100 score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0097#Section2
Institute of Chemical Technology,Bachelor of Technology (B.Tech),"Oils, Oleochemicals and Surfactants Technology",1,48,semester,INR 15000,INR 140350,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 75% score )",JEE Main with minimum 100 score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0097#Section2
Institute of Chemical Technology,Bachelor of Technology (B.Tech),Pharmaceutical Science and Technology,1,48,semester,INR 15000,INR 140350,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 75% score )",JEE Main with minimum 400 score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0097#Section2
Institute of Chemical Technology,Bachelor of Technology (B.Tech),Polymer Engineering and Technology,1,48,semester,INR 15000,INR 140350,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 75% score )",JEE Main with minimum 100 score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0097#Section2
Institute of Chemical Technology,Bachelor of Technology (B.Tech),Surface Engineering and Technology,1,48,semester,INR 15000,INR 140350,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 75% score )",JEE Main with minimum 100 score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0097#Section2
Jain University Bangalore,Bachelor of Technology (B.Tech),Aeronautical Engineering,125,48,semester,USD 5500,USD 10000,( 10+2 in Science with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0192#Section2
Jain University Bangalore,Bachelor of Technology (B.Tech),Aerospace Engineering,225,48,semester,USD 5500,USD 10000,( 10+2 in Science with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0192#Section2
Jain University Bangalore,Bachelor of Technology (B.Tech),Civil Engineering,980,48,semester,USD 5500,USD 10000,( 10+2 in Science with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0192#Section2
Jain University Bangalore,Bachelor of Technology (B.Tech),Computer Engineering (Cloud Technology and Mobile Application),120,48,semester,USD 5500,USD 10000,( 10+2 in Computer Science with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0192#Section2
Jain University Bangalore,Bachelor of Technology (B.Tech),Computer Science (Data Science),165,48,semester,USD 5500,USD 10000,( 10+2 in Science with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0192#Section2
Jain University Bangalore,Bachelor of Technology (B.Tech),Computer Science and Engineering,1040,48,semester,USD 6000,USD 10500,( 10+2 in Science with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0192#Section2
Jain University Bangalore,Bachelor of Technology (B.Tech),Computer Science and Engineering (Spec. in Artificial Intelligence and Machine Learning),160,48,semester,USD 5500,USD 10000,( 10+2 in Science with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0192#Section2
Jain University Bangalore,Bachelor of Technology (B.Tech),Computer Science and Engineering (Spec. in Information Security),120,48,semester,USD 5500,USD 10000,( 10+2 in Computer Science with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0192#Section2
Jain University Bangalore,Bachelor of Technology (B.Tech),Computer Science and Engineering (Spec. in Internet of Things (IOT)),60,48,semester,USD 5500,USD 10000,( 10+2 in Science with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0192#Section2
Jain University Bangalore,Bachelor of Technology (B.Tech),Electrical and Electronics Engineering,319,48,semester,USD 5500,USD 10000,( 10+2 in Science with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0192#Section2
Jain University Bangalore,Bachelor of Technology (B.Tech),Electronics and Communication Engineering,328,48,semester,USD 5500,USD 10000,( 10+2 in Science with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0192#Section2
Jain University Bangalore,Bachelor of Technology (B.Tech),Information Science and Engineering,120,48,semester,USD 5500,USD 10000,( 10+2 in Any Subject with minimum 60% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0192#Section2
Jain University Bangalore,Bachelor of Technology (B.Tech),Mechanical Engineering,140,48,semester,USD 5500,USD 10000,( 10+2 in Science with minimum 60% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0192#Section2
Jain University Bangalore,Bachelor of Technology (B.Tech),Software Engineering,200,48,semester,USD 5500,USD 10000,( 10+2 in Science with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0192#Section2
Jaypee Institute of Information Technology,Bachelor of Technology (B.Tech),Biotechnology,20,48,semester,USD 14600,USD 14600,"( 10+2 in Physics, Chemistry and Biology (PCB) with minimum 60% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0044#Section2
Jaypee Institute of Information Technology,Bachelor of Technology (B.Tech),Computer Science and Engineering,20,48,semester,USD 11600,USD 14600,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0044#Section2
Jaypee Institute of Information Technology,Bachelor of Technology (B.Tech),Electronics and Communication Engineering,20,48,semester,USD 14600,USD 14600,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0044#Section2
Jaypee Institute of Information Technology,Bachelor of Technology (B.Tech),Information Technology,10,48,semester,USD 14600,USD 14600,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0044#Section2
KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,Bachelor of Technology (B.Tech),Aeronautical Engineering,20,48,semester,USD 3500,USD 5500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-317#Section2
KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,Bachelor of Technology (B.Tech),Agricultural Engineering,15,48,semester,USD 4500,USD 6500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",(  Date of Birth must be after 1991-),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-317#Section2
KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,Bachelor of Technology (B.Tech),Automobile Engineering,15,48,semester,USD 3500,USD 5500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-317#Section2
KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,Bachelor of Technology (B.Tech),Biomedical Engineering,30,48,semester,USD 3500,USD 5500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score Or 10+2 in Physics, Chemistry and Biology (PCB) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-317#Section2
KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,Bachelor of Technology (B.Tech),Biotechnology,30,48,semester,USD 3500,USD 5500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score Or 10+2 in Physics, Chemistry and Biology (PCB) with minimum 50% score )",(  Date of Birth must be after 1990-),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-317#Section2
KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,Bachelor of Technology (B.Tech),Chemical Engineering,15,48,semester,USD 3500,USD 5500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",(  Date of Birth must be after 1990-),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-317#Section2
KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,Bachelor of Technology (B.Tech),Civil Engineering,30,48,semester,USD 3500,USD 5500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",(  Date of Birth must be after 1990-),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-317#Section2
KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,Bachelor of Technology (B.Tech),Computer Science and Engineering,15,48,semester,USD 3500,USD 5500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",(  Date of Birth must be after 1990-),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-317#Section2
KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,Bachelor of Technology (B.Tech),Computer Science and Engineering (Spec. in Artificial Intelligence and Machine Learning),15,48,semester,USD 3500,USD 5500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",(  Date of Birth must be after 1990-),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-317#Section2
KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,Bachelor of Technology (B.Tech),Computer Science and Engineering (Spec. in Cyber Security),15,48,semester,USD 3500,USD 5500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-317#Section2
KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,Bachelor of Technology (B.Tech),Electrical and Electronics Engineering,10,48,semester,USD 3500,USD 5500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-317#Section2
KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,Bachelor of Technology (B.Tech),Electronics and Communication Engineering,60,48,semester,USD 3500,USD 5500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",(  Date of Birth must be after 1990-),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-317#Section2
KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,Bachelor of Technology (B.Tech),Food Technology,30,48,semester,USD 3500,USD 5500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-317#Section2
KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,Bachelor of Technology (B.Tech),Information Technology,15,48,semester,USD 3500,USD 5500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-317#Section2
KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,Bachelor of Technology (B.Tech),Mechanical Engineering,15,48,semester,USD 3500,USD 5500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",(  Date of Birth must be after 1990-),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-317#Section2
KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,Bachelor of Technology (B.Tech),Computer Science & Engineering with a Specialization in Blockchain Technology,15,48,semester,USD 3500,USD 5500,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",(  Date of Birth must be after 31-05),https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-317#Section2
Kalinga Institute of Industrial Technology (KIIT),Bachelor of Technology (B.Tech),Aerospace Engineering,400,48,semester,USD 6000,USD 10000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score ( Diploma in Aerospace with minimum 50% score   Or  Diploma in Aeronautical Engineering with minimum 50% score   Or  Diploma in Aerospace and Space Technology with minimum 50% score  ) )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0046#Section2
Kalinga Institute of Industrial Technology (KIIT),Bachelor of Technology (B.Tech),Automobile Engineering,300,48,Yearly,USD 6000,USD 10000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score ( Diploma in Automobile Engineering with minimum 50% score   Or  Diploma in Automotive Engineering with minimum 50% score  ) )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0046#Section2
Kalinga Institute of Industrial Technology (KIIT),B.Tech + M.Tech (Integrated),Bio Technology,500,60,semester,USD 6000,USD 10000,"( 10+2 in Physics, Chemistry and Biology (PCB) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0046#Section2
Kalinga Institute of Industrial Technology (KIIT),Bachelor of Technology (B.Tech),Chemical Engineering,258,48,semester,USD 6000,USD 10000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score ( Diploma in Chemical Engineering with minimum 50% score   Or  Diploma in Chemical Technology with minimum 50% score   Or  Diploma in Chemistry with minimum 50% score  ) )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0046#Section2
Kalinga Institute of Industrial Technology (KIIT),Bachelor of Technology (B.Tech),Civil Engineering,1320,48,semester,USD 6000,USD 10000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score ( Diploma in Civil Engineering with minimum 50% score   Or  Diploma in Structural Engineering with minimum 50% score  ) )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0046#Section2
Kalinga Institute of Industrial Technology (KIIT),Bachelor of Technology (B.Tech),Communication Engineering,200,48,semester,USD 6000,USD 10000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score ( Diploma in Communication Engineering with minimum 50% score   Or  Diploma in Engineering with minimum 50% score  ) )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0046#Section2
Kalinga Institute of Industrial Technology (KIIT),Bachelor of Technology (B.Tech),Computer and Communication Engineering,400,48,semester,USD 6000,USD 10000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score ( Diploma in Computer science and engineering with minimum 50% score   Or  Diploma in Computer Science with minimum 50% score  ) )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0046#Section2
Kalinga Institute of Industrial Technology (KIIT),Bachelor of Technology (B.Tech),Computer Science and Engineering,1700,48,semester,USD 6000,USD 10000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score ( Diploma in Computer Science with minimum 60% score   Or  Diploma in Computer science and engineering with minimum 60% score  ) )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0046#Section2
